marlon@sandbox:~$ sudo apt-get install apt-show-versions
Reading package lists... Done
Building dependency tree       
libxkbcommon0:amd64/trusty 0.4.1-0ubuntu1 uptodate
libxml2:amd64/trusty-security 2.9.1+dfsg1-3ubuntu4.4 uptodate
libxmuu1:amd64/trusty 2:1.1.1-1 uptodate
libxpm4:amd64/trusty 1:3.5.10-1 uptodate
libxrandr2:amd64/trusty 2:1.4.2-1 uptodate
libxrender1:amd64/trusty-security 1:0.9.8-1build0.14.04.1 uptodate
libxtst6:amd64/trusty 2:1.2.2-1 uptodate
linux-headers-3.13.0-49:all/trusty-security 3.13.0-49.83 uptodate
linux-headers-3.13.0-49-generic:amd64/trusty-security 3.13.0-49.83 uptodate
linux-headers-3.16.0-30:all/trusty-updates 3.16.0-30.40~14.04.1 uptodate
linux-headers-3.16.0-30-generic:amd64/trusty-updates 3.16.0-30.40~14.04.1 uptodate
linux-headers-generic:amd64/trusty-security 3.13.0.49.56 uptodate
linux-headers-generic-lts-utopic:amd64/trusty-security 3.16.0.30.23 upgradeable to 3.16.0.34.27
linux-headers-virtual:amd64/trusty-security 3.13.0.49.56 uptodate
linux-headers-virtual-lts-utopic:amd64/trusty-security 3.16.0.30.23 upgradeable to 3.16.0.34.27
linux-image-3.16.0-30-generic:amd64/trusty-updates 3.16.0-30.40~14.04.1 uptodate
linux-image-virtual-lts-utopic:amd64/trusty-security 3.16.0.30.23 upgradeable to 3.16.0.34.27
linux-libc-dev:amd64/trusty-security 3.13.0-49.83 uptodate
linux-virtual-lts-utopic:amd64/trusty-security 3.16.0.30.23 upgradeable to 3.16.0.34.27
locales:all/trusty-updates 2.13+git20120306-12.1 uptodate
lockfile-progs:amd64/trusty 0.1.17 uptodate
login:amd64/trusty 1:4.1.5.1-1ubuntu9 uptodate
logrotate:amd64/trusty 3.8.7-1ubuntu1 uptodate
lsb-base:all/trusty 4.1+Debian11ubuntu6 uptodate
lsb-release:all/trusty 4.1+Debian11ubuntu6 uptodate
lsof:amd64/trusty 4.86+dfsg-1ubuntu2 uptodate
make:amd64/trusty 3.81-8.2ubuntu3 uptodate
makedev:all/trusty 2.3.1-93ubuntu1 uptodate
man-db:amd64/trusty-updates 2.6.7.1-1ubuntu1 uptodate
manpages:all/trusty 3.54-1ubuntu1 uptodate
manpages-dev:all/trusty 3.54-1ubuntu1 uptodate
mawk:amd64/trusty 1.3.3-17ubuntu2 uptodate
mime-support:all/trusty-security 3.54ubuntu1.1 uptodate
module-init-tools:all/trusty 15-0ubuntu6 uptodate
mount:amd64/trusty-updates 2.20.1-5.1ubuntu20.4 uptodate
mountall:amd64/trusty 2.53 uptodate
multiarch-support:amd64/trusty-security 2.19-0ubuntu6.6 uptodate
mysql-client-5.5:amd64/trusty-security 5.5.43-0ubuntu0.14.04.1 uptodate
mysql-client-core-5.5:amd64/trusty-security 5.5.43-0ubuntu0.14.04.1 uptodate
mysql-common:all/trusty-security 5.5.43-0ubuntu0.14.04.1 uptodate
mysql-server:all/trusty-security 5.5.43-0ubuntu0.14.04.1 uptodate
mysql-server-5.5:amd64/trusty-security 5.5.43-0ubuntu0.14.04.1 uptodate
mysql-server-core-5.5:amd64/trusty-security 5.5.43-0ubuntu0.14.04.1 uptodate
nano:amd64/trusty 2.2.6-1ubuntu1 uptodate
ncurses-base:all/trusty 5.9+20140118-1ubuntu1 uptodate
ncurses-bin:amd64/trusty 5.9+20140118-1ubuntu1 uptodate
ncurses-term:all/trusty 5.9+20140118-1ubuntu1 uptodate
net-tools:amd64/trusty-updates 1.60-25ubuntu2.1 uptodate
netbase:all/trusty 5.2 uptodate
netcat-openbsd:amd64/trusty 1.105-7ubuntu1 uptodate
ntpdate:amd64/trusty-security 1:4.2.6.p5+dfsg-3ubuntu2.14.04.3 uptodate
openssh-client:amd64/trusty-updates 1:6.6p1-2ubuntu2 uptodate
openssh-server:amd64/trusty-updates 1:6.6p1-2ubuntu2 uptodate
openssh-sftp-server:amd64/trusty-updates 1:6.6p1-2ubuntu2 uptodate
openssl:amd64/trusty-security 1.0.1f-1ubuntu2.11 uptodate
os-prober:amd64/trusty 1.63ubuntu1 uptodate
p11-kit:amd64/trusty 0.20.2-2ubuntu2 uptodate
p11-kit-modules:amd64/trusty 0.20.2-2ubuntu2 uptodate
passwd:amd64/trusty 1:4.1.5.1-1ubuntu9 uptodate
patch:amd64/trusty-updates 2.7.1-4ubuntu2 uptodate
pciutils:amd64/trusty 1:3.2.1-1ubuntu5 uptodate
perl:amd64/trusty 5.18.2-2ubuntu1 uptodate
perl-base:amd64/trusty 5.18.2-2ubuntu1 uptodate
perl-modules:all/trusty 5.18.2-2ubuntu1 uptodate
php-gettext:all/trusty 1.0.11-1 uptodate
php5-cli:amd64/trusty-security 5.5.9+dfsg-1ubuntu4.9 uptodate
php5-common:amd64/trusty-security 5.5.9+dfsg-1ubuntu4.9 uptodate
php5-gd:amd64/trusty-security 5.5.9+dfsg-1ubuntu4.9 uptodate
php5-intl:amd64/trusty-security 5.5.9+dfsg-1ubuntu4.9 uptodate
php5-json:amd64/trusty 1.3.2-2build1 uptodate
php5-mcrypt:amd64/trusty 5.4.6-0ubuntu5 uptodate
php5-mysql:amd64/trusty-security 5.5.9+dfsg-1ubuntu4.9 uptodate
php5-readline:amd64/trusty-security 5.5.9+dfsg-1ubuntu4.9 uptodate
php5-sqlite:amd64/trusty-security 5.5.9+dfsg-1ubuntu4.9 uptodate
phpmyadmin:all/trusty 4:4.0.10-1 uptodate
plymouth:amd64/trusty-updates 0.8.8-0ubuntu17.1 uptodate
policykit-1:amd64/trusty-updates 0.105-4ubuntu2.14.04.1 uptodate
procps:amd64/trusty-updates 1:3.3.9-1ubuntu2.2 uptodate
psmisc:amd64/trusty 22.20-1ubuntu2 uptodate
python:amd64/trusty 2.7.5-5ubuntu3 uptodate
python-apt:amd64/trusty-updates 0.9.3.5ubuntu1 uptodate
python-apt-common:all/trusty-updates 0.9.3.5ubuntu1 uptodate
python-chardet:all/trusty 2.0.1-2build2 uptodate
python-debian:all/trusty 0.1.21+nmu2ubuntu2 uptodate
python-minimal:amd64/trusty 2.7.5-5ubuntu3 uptodate
python-requests:all/trusty-security 2.2.1-1ubuntu0.2 uptodate
python-six:all/trusty 1.5.2-1 uptodate
python-urllib3:all/trusty-updates 1.7.1-1ubuntu3 uptodate
python-xapian:amd64/trusty 1.2.16-2ubuntu1 uptodate
python2.7:amd64/trusty 2.7.6-8 uptodate
python2.7-minimal:amd64/trusty 2.7.6-8 uptodate
python3:amd64/trusty 3.4.0-0ubuntu2 uptodate
python3-apt:amd64/trusty-updates 0.9.3.5ubuntu1 uptodate
python3-chardet:all/trusty-updates 2.2.1-2~ubuntu1 uptodate
python3-debian:all/trusty 0.1.21+nmu2ubuntu2 uptodate
python3-gi:amd64/trusty-updates 3.12.0-1ubuntu1 uptodate
python3-minimal:amd64/trusty 3.4.0-0ubuntu2 uptodate
python3-pkg-resources:all/trusty 3.3-1ubuntu1 uptodate
python3-six:all/trusty 1.5.2-1 uptodate
python3.4:amd64/trusty 3.4.0-2ubuntu1 uptodate
python3.4-minimal:amd64/trusty 3.4.0-2ubuntu1 uptodate
readline-common:all/trusty 6.3-4ubuntu2 uptodate
resolvconf:all/trusty-updates 1.69ubuntu1.1 uptodate
rsyslog:amd64/trusty-updates 7.4.4-1ubuntu2.5 uptodate
sed:amd64/trusty 4.2.2-4ubuntu1 uptodate
sensible-utils:all/trusty 0.0.9 uptodate
sgml-base:all/trusty 1.26+nmu4ubuntu1 uptodate
shared-mime-info:amd64/trusty 1.2-0ubuntu3 uptodate
ssh-import-id:all/trusty 3.21-0ubuntu1 uptodate
ssl-cert:all/trusty 1.0.33 uptodate
sudo:amd64/trusty-security 1.8.9p5-1ubuntu1.1 uptodate
systemd-services:amd64/trusty-updates 204-5ubuntu20.11 uptodate
systemd-shim:amd64/trusty 6-2bzr1 uptodate
sysv-rc:all/trusty-updates 2.88dsf-41ubuntu6.1 uptodate
sysvinit-utils:amd64/trusty-updates 2.88dsf-41ubuntu6.1 uptodate
tar:amd64/trusty 1.27.1-1 uptodate
tasksel:all/trusty 2.88ubuntu15 uptodate
tasksel-data:all/trusty 2.88ubuntu15 uptodate
tcpd:amd64/trusty 7.6.q-25 uptodate
tzdata:all/trusty-security 2015c-0ubuntu0.14.04 uptodate
ubuntu-keyring:all/trusty 2012.05.19 uptodate
ubuntu-minimal:amd64/trusty 1.325 uptodate
ucf:all/trusty 3.0027+nmu1 uptodate
udev:amd64/trusty-updates 204-5ubuntu20.11 uptodate
unattended-upgrades:all/trusty-updates 0.82.1ubuntu2.2 uptodate
unzip:amd64/trusty-security 6.0-9ubuntu1.3 uptodate
upstart:amd64/trusty-updates 1.12.1-0ubuntu4.2 uptodate
ureadahead:amd64/trusty 0.100.0-16 uptodate
usbutils:amd64/trusty 1:007-2ubuntu1 uptodate
util-linux:amd64/trusty-updates 2.20.1-5.1ubuntu20.4 uptodate
vim-common:amd64/trusty 2:7.4.052-1ubuntu3 uptodate
vim-tiny:amd64/trusty 2:7.4.052-1ubuntu3 uptodate
wget:amd64/trusty-security 1.15-1ubuntu1.14.04.1 uptodate
whiptail:amd64/trusty 0.52.15-2ubuntu5 uptodate
x11-common:all/trusty-updates 1:7.7+1ubuntu8.1 uptodate
xauth:amd64/trusty 1:1.0.7-1ubuntu1 uptodate
xkb-data:all/trusty 2.10.1-1ubuntu1 uptodate
xml-core:all/trusty 0.13+nmu2 uptodate
xz-utils:amd64/trusty 5.1.1alpha+20120614-2ubuntu2 uptodate
zip:amd64/trusty 3.0-8 uptodate
zlib1g:amd64/trusty 1:1.2.8.dfsg-1ubuntu1 uptodate
marlon@sandbox:~$ 
